"","logFC","logCPM","PValue","FDR"
"gene:MD09G1217300",12.1345942260497,4.40842519593814,0,0
"gene:MD10G1085400",10.7920077605948,4.93919137477817,0,0
"gene:MD02G1226900",9.55083937467663,7.84158669990377,0,0
"gene:MD13G1153100",9.10408601200587,6.41914154710724,0,0
"gene:MD13G1217600",9.0924108970679,5.20749655438536,0,0
"gene:MD14G1049700",9.07072543419198,4.89020189891812,0,0
"gene:MD09G1114000",9.05867914123763,6.77735378034345,0,0
"gene:MD07G1173600",8.90013072316164,3.84578541816086,0,0
"gene:MD03G1072600",8.87065753875638,3.8166649927667,0,0
"gene:MD09G1114100",8.85634594114538,3.80252722801099,0,0
"gene:MD04G1050800",8.84649170205662,4.29549342327702,0,0
"gene:MD06G1192900",8.77511793280385,5.52961053772375,0,0
"gene:MD10G1049900",8.71447524438899,10.2143609219424,0,0
"gene:MD12G1210200",8.69406277950097,7.25606144324368,0,0
"gene:MD06G1120300",8.62643075048969,5.54397324375015,0,0
"gene:MD11G1189900",8.57255481524098,6.92404677662754,0,0
"gene:MD07G1106900",8.45150140926667,3.90472868554099,0,0
"gene:MD07G1086200",8.3762763110422,8.62196075975124,0,0
"gene:MD16G1153500",8.25582656463805,5.3213944091268,0,0
"gene:MD06G1101000",8.14845036626164,4.9071179059132,0,0
"gene:MD15G1098800",8.12123799306011,11.6739734142283,0,0
"gene:MD13G1173100",8.0623654769268,4.18589456557641,0,0
"gene:MD06G1037400",8.0593132037247,5.37969129573946,0,0
"gene:MD08G1182400",8.0344547343,4.79409335200454,0,0
"gene:MD14G1077200",7.95950676421505,4.53741525248278,0,0
"gene:MD17G1272100",7.90163784913202,8.5472670493511,0,0
"gene:MD03G1172200",7.90030779882675,6.31072535601406,0,0
"gene:MD04G1173600",7.88496768701943,7.22773095064225,0,0
"gene:MD04G1148700",7.87524628123697,5.76553020174097,0,0
"gene:MD11G1161800",7.84710288535127,5.95522468868756,0,0
"gene:MD09G1199700",7.82257112070901,8.68358847365991,0,0
"gene:MD12G1187100",7.8177655852426,12.8380102123478,0,0
"gene:MD16G1249900",7.75480028949192,4.12625886341125,0,0
"gene:MD09G1278600",7.7252788475556,5.04832654710252,0,0
"gene:MD12G1162100",7.71715292378089,5.75722493874619,0,0
"gene:MD16G1108700",7.56680905070535,8.75019806885985,0,0
"gene:MD01G1237600",7.51650593038037,6.57790069378717,0,0
"gene:MD12G1027900",7.49459005950637,4.07799032976015,0,0
"gene:MD16G1043300",7.47920585194723,5.77904850950384,0,0
"gene:MD01G1198100",7.43247598749846,4.19870987430239,0,0
"gene:MD17G1267600",7.4173750105853,5.98625674229967,0,0
"gene:MD06G1011400",7.3940081224785,4.83191724201757,0,0
"gene:MD14G1224900",7.32293063262965,4.39735087642641,0,0
"gene:MD16G1218100",7.29954440452072,6.64605642495994,0,0
"gene:MD13G1042400",7.2784033685978,8.1722885345123,0,0
"gene:MD15G1132100",-7.25649759153435,4.32460682325647,0,0
"gene:MD07G1107400",7.24768636254493,4.17795147100523,0,0
"gene:MD10G1068500",7.17428314459174,4.81473109282413,0,0
"gene:MD12G1194400",7.16331503926075,4.49248850145912,0,0
"gene:MD07G1015700",7.14842241219292,5.76784752343601,0,0
"gene:MD17G1180300",7.14827398587907,6.49602074823517,0,0
"gene:MD04G1148900",7.10747808170222,4.65223390350217,0,0
"gene:MD12G1238900",7.08274190613299,5.55321398911476,0,0
"gene:MD17G1050900",7.02015218842975,4.35129955141853,0,0
"gene:MD03G1058400",6.9931324750331,5.79211626118126,0,0
"gene:MD17G1238200",6.94256035652315,4.38619065677086,0,0
"gene:MD12G1031600",6.93088286152552,4.97859246141903,0,0
"gene:MD14G1153600",6.92388821907772,4.65795604341216,0,0
"gene:MD02G1294500",6.89165247105867,4.7112126419752,0,0
"gene:MD02G1056800",-6.86075512605979,4.49812823368414,0,0
"gene:MD09G1286100",6.81677545958591,5.88438860098491,0,0
"gene:MD09G1075400",6.76955955596797,4.31915957222832,0,0
"gene:MD17G1101100",6.50765214499126,4.75858415247247,0,0
"gene:MD02G1056400",6.48227118157025,4.30828511364294,0,0
"gene:MD01G1222200",6.48061740959399,5.55244676105487,0,0
"gene:MD11G1132500",6.44473209519628,4.69669265502622,0,0
"gene:MD05G1320100",6.4137918626141,7.99692388161448,0,0
"gene:MD16G1182000",6.36554494865017,5.21382375810491,0,0
"gene:MD06G1071600",6.36336310022926,7.02157722945421,0,0
"gene:MD01G1234400",6.30331332169315,5.02527030343328,0,0
"gene:MD17G1130100",-6.2743009304183,6.31541561036369,0,0
"gene:MD15G1271900",6.26768733653262,4.46010412712036,0,0
"gene:MD15G1386800",6.21872808269153,4.47476730784519,0,0
"gene:MD16G1042700",6.21524785718489,6.60906384512361,0,0
"gene:MD11G1060600",6.13783413439694,5.17992374532661,0,0
"gene:MD13G1047800",6.11062817381903,4.36885087724286,0,0
"gene:MD03G1001100",6.06246111417052,5.68445504604548,0,0
"gene:MD15G1113800",6.05363123040154,6.22419057150639,0,0
"gene:MD08G1046600",6.00958386147512,7.43727160474459,0,0
"gene:MD07G1064400",5.96142152251164,3.95440002360972,0,0
"gene:MD01G1167300",5.92633200911038,6.92107914997532,0,0
"gene:MD02G1014800",5.90428445087913,7.47644759792889,0,0
"gene:MD13G1257800",5.86962052629416,6.01049987346785,0,0
"gene:MD13G1285100",5.84427036509188,4.61888490060789,0,0
"gene:MD06G1009400",5.81944378328178,6.49781812246779,0,0
"gene:MD04G1003000",5.81586678910006,8.40614115273993,0,0
"gene:MD17G1130000",-5.8077204221174,7.18332415518772,0,0
"gene:MD14G1058300",5.78626419790895,6.25542657545418,0,0
"gene:MD13G1056500",5.77029115788515,5.97827692413263,0,0
"gene:MD12G1103600",5.76806487768656,4.15183034730989,0,0
"gene:MD06G1138800",5.70637122309476,5.01694614300136,0,0
"gene:MD15G1113900",5.695513170094,6.54932843262297,0,0
"gene:MD16G1197900",5.57681879120232,4.26956598660828,0,0
"gene:MD06G1232000",5.57568018683996,4.22207403184819,0,0
"gene:MD17G1027400",5.52614825734127,4.58173905639967,0,0
"gene:MD11G1274100",5.52612006858699,5.37969271356012,0,0
"gene:MD10G1079800",5.51939008907239,5.15282653208031,0,0
"gene:MD04G1003400",5.46554055649745,8.26745136740696,0,0
"gene:MD10G1278800",5.44118890259789,4.60191666448862,0,0
"gene:MD17G1244400",5.43939939017366,6.75751044474704,0,0
"gene:MD15G1024100",5.33038848179667,7.36675670678228,0,0
"gene:MD05G1155100",5.3284450452899,10.3492160061918,0,0
"gene:MD09G1027400",5.3169814379397,6.8513212542909,0,0
"gene:MD09G1199000",5.30432475771784,4.46908322885736,0,0
"gene:MD10G1306900",5.29661564535091,4.20946590351497,0,0
"gene:MD07G1157600",5.29302586734486,5.55934321267607,0,0
"gene:MD15G1060800",5.28835775145107,4.24030581525826,0,0
"gene:MD10G1197100",5.26301510930988,4.25359372798228,0,0
"gene:MD17G1225100",5.21027087314605,8.18819916206178,0,0
"gene:MD03G1086300",5.19424266554986,4.54824062588819,0,0
"gene:MD01G1050200",5.17986493692179,4.4444636433729,0,0
"gene:MD11G1268600",5.17307431898402,5.4273747185564,0,0
"gene:MD07G1249700",5.15058288359913,6.70217002035192,0,0
"gene:MD07G1156200",5.13421422638699,6.07152646940461,0,0
"gene:MD01G1087400",5.11917257959793,5.4210795690893,0,0
"gene:MD12G1128600",5.10926201294578,5.30188515333354,0,0
"gene:MD05G1312700",5.10750892685384,6.4710539167441,0,0
"gene:MD11G1055100",5.09047613546503,5.12933543355232,0,0
"gene:MD10G1337700",5.06879629902799,5.84386404305532,0,0
"gene:MD05G1105500",5.06386353408989,4.50682883856503,0,0
"gene:MD07G1306900",5.0576859436931,7.99205710460448,0,0
"gene:MD14G1153000",-4.99253607646252,4.95328234258702,0,0
"gene:MD04G1003300",4.93601802282094,6.80630738696395,0,0
"gene:MD03G1095100",4.92108294347434,4.25548220516815,0,0
"gene:MD13G1043200",4.79966923759814,6.768463010331,0,0
"gene:MD01G1044100",4.79246706729407,6.29750349808634,0,0
"gene:MD02G1069600",4.77326862601486,4.78693228280993,0,0
"gene:MD06G1138200",4.75908538543633,7.51370723634191,0,0
"gene:MD05G1017100",4.75127222140257,5.44775071719735,0,0
"gene:MD15G1309900",4.74909249716849,5.93180384713382,0,0
"gene:MD10G1265400",4.72417728216517,6.04174798407869,0,0
"gene:MD04G1096200",4.71576080658918,5.40202802750903,0,0
"gene:MD14G1238600",4.69884995631456,4.53819289341338,0,0
"gene:MD07G1174800",4.63298705881971,6.47814790619423,0,0
"gene:MD17G1218600",4.6308814341559,5.10754803319035,0,0
"gene:MD07G1261900",4.62316829863673,4.89747807802233,0,0
"gene:MD15G1197200",-4.61896628468638,4.59452342494145,0,0
"gene:MD14G1042900",4.59830477814503,5.62106174402542,0,0
"gene:MD06G1016500",4.56408843793667,7.41506986552494,0,0
"gene:MD13G1212100",4.56254072461692,4.79214557840466,0,0
"gene:MD04G1225000",4.54884470246536,6.1153358040308,0,0
"gene:MD01G1073600",4.54192729221016,8.63812883796211,0,0
"gene:MD04G1191700",4.52893148206398,9.66518644336072,0,0
"gene:MD00G1068500",4.5186066506072,4.25736871383947,0,0
"gene:MD09G1042100",4.48628160917771,6.36355290116578,0,0
"gene:MD08G1162600",4.47854569412479,4.79019293270786,0,0
"gene:MD15G1132000",-4.46805685970912,4.31105004567531,0,0
"gene:MD09G1095200",4.44661920135135,5.21285481183226,0,0
"gene:MD08G1007200",4.43688378563693,5.54783433554627,0,0
"gene:MD05G1145700",4.42876228745506,4.38187680875987,0,0
"gene:MD07G1255000",-4.39163652912136,4.27984529567988,0,0
"gene:MD13G1191300",4.39125455520028,4.64505145289155,0,0
"gene:MD15G1442300",4.37121780732057,4.89989505379549,0,0
"gene:MD16G1119500",4.35669964131656,4.61227023318311,0,0
"gene:MD02G1057500",4.32505018028414,5.85667288851589,0,0
"gene:MD15G1348200",4.31761381802521,5.17644218420833,0,0
"gene:MD11G1200600",4.31656427702707,4.62108501407492,0,0
"gene:MD10G1179100",-4.30593332120349,5.07215809294614,0,0
"gene:MD14G1223300",4.2917410115004,4.83760326440813,0,0
"gene:MD16G1028800",4.28508499427287,4.32186718382925,0,0
"gene:MD03G1260100",4.27783114859832,4.45600614265514,0,0
"gene:MD00G1040000",4.26666338273444,5.13857479090058,0,0
"gene:MD08G1173200",4.26574061942679,4.37581335274798,0,0
"gene:MD14G1020100",4.26518097012846,5.4613133361209,0,0
"gene:MD12G1000800",4.26338531770484,5.73100530774934,0,0
"gene:MD14G1015300",4.25609292356538,5.60226696298335,0,0
"gene:MD11G1023100",4.23770357632297,6.89346560264233,0,0
"gene:MD05G1336200",4.23586162564433,4.86073651561872,0,0
"gene:MD07G1287000",4.22751680448443,4.4900867094751,0,0
"gene:MD05G1289300",4.22715622381332,5.87121583727436,0,0
"gene:MD15G1178700",4.21070164933605,4.25170397674564,0,0
"gene:MD06G1006500",4.1932767608993,6.29475442603679,0,0
