"","logFC","logCPM","PValue","FDR"
"gene:MD09G1217300",-12.1345942262588,4.40842519593814,0,0
"gene:MD10G1085400",-10.7920077605967,4.93919137477817,0,0
"gene:MD02G1226900",-9.55083937389603,7.84158669990377,0,0
"gene:MD13G1153100",-9.10408601266751,6.41914154710724,0,0
"gene:MD13G1217600",-9.09241090208464,5.20749655438536,0,0
"gene:MD14G1049700",-9.0707254341904,4.89020189891812,0,0
"gene:MD09G1114000",-9.0586791412466,6.77735378034345,0,0
"gene:MD07G1173600",-8.90013072316093,3.84578541816086,0,0
"gene:MD03G1072600",-8.87065753842649,3.8166649927667,0,0
"gene:MD09G1114100",-8.8563459411448,3.80252722801099,0,0
"gene:MD04G1050800",-8.84649170200822,4.29549342327702,0,0
"gene:MD06G1192900",-8.77511793379676,5.52961053772375,0,0
"gene:MD10G1049900",-8.71447524498597,10.2143609219424,0,0
"gene:MD12G1210200",-8.69406277891409,7.25606144324368,0,0
"gene:MD06G1120300",-8.62643075049307,5.54397324375015,0,0
"gene:MD11G1189900",-8.57255481523784,6.92404677662754,0,0
"gene:MD07G1106900",-8.451501409266,3.90472868554099,0,0
"gene:MD07G1086200",-8.37627631100352,8.62196075975124,0,0
"gene:MD16G1153500",-8.25582656463743,5.3213944091268,0,0
"gene:MD06G1101000",-8.14845036526269,4.9071179059132,0,0
"gene:MD15G1098800",-8.12123799244243,11.6739734142283,0,0
"gene:MD13G1173100",-8.0623654769256,4.18589456557641,0,0
"gene:MD06G1037400",-8.05931320710991,5.37969129573946,0,0
"gene:MD08G1182400",-8.03445473430079,4.79409335200454,0,0
"gene:MD14G1077200",-7.9595067784864,4.53741525248278,0,0
"gene:MD17G1272100",-7.90163784919095,8.5472670493511,0,0
"gene:MD03G1172200",-7.90030779892094,6.31072535601406,0,0
"gene:MD04G1173600",-7.8849676869638,7.22773095064225,0,0
"gene:MD04G1148700",-7.87524628125031,5.76553020174097,0,0
"gene:MD11G1161800",-7.84710288533097,5.95522468868756,0,0
"gene:MD09G1199700",-7.82257112064592,8.68358847365991,0,0
"gene:MD12G1187100",-7.81776557955153,12.8380102123478,0,0
"gene:MD16G1249900",-7.75480028949136,4.12625886341125,0,0
"gene:MD09G1278600",-7.72527884755376,5.04832654710252,0,0
"gene:MD12G1162100",-7.71715292368968,5.75722493874619,0,0
"gene:MD16G1108700",-7.56680905082038,8.75019806885985,0,0
"gene:MD01G1237600",-7.51650593048584,6.57790069378717,0,0
"gene:MD12G1027900",-7.49459005950385,4.07799032976015,0,0
"gene:MD16G1043300",-7.47920585198674,5.77904850950384,0,0
"gene:MD01G1198100",-7.43247598060606,4.19870987430239,0,0
"gene:MD17G1267600",-7.41737501060788,5.98625674229967,0,0
"gene:MD06G1011400",-7.39400812247537,4.83191724201757,0,0
"gene:MD14G1224900",-7.32293063303946,4.39735087642641,0,0
"gene:MD16G1218100",-7.29954440452141,6.64605642495994,0,0
"gene:MD13G1042400",-7.27840336714353,8.1722885345123,0,0
"gene:MD15G1132100",7.25649759735577,4.32460682325647,0,0
"gene:MD07G1107400",-7.24768636254349,4.17795147100523,0,0
"gene:MD10G1068500",-7.17428314297057,4.81473109282413,0,0
"gene:MD12G1194400",-7.16331503926132,4.49248850145912,0,0
"gene:MD07G1015700",-7.14842241220109,5.76784752343601,0,0
"gene:MD17G1180300",-7.14827398588569,6.49602074823517,0,0
"gene:MD04G1148900",-7.10747808841146,4.65223390350217,0,0
"gene:MD12G1238900",-7.08274190612896,5.55321398911476,0,0
"gene:MD17G1050900",-7.02015218842413,4.35129955141853,0,0
"gene:MD03G1058400",-6.99313247439211,5.79211626118126,0,0
"gene:MD17G1238200",-6.94256035639243,4.38619065677086,0,0
"gene:MD12G1031600",-6.93088286028658,4.97859246141903,0,0
"gene:MD14G1153600",-6.9238882252786,4.65795604341216,0,0
"gene:MD02G1294500",-6.89165247106317,4.7112126419752,0,0
"gene:MD02G1056800",6.86075506382958,4.49812823368414,0,0
"gene:MD09G1286100",-6.81677545959214,5.88438860098491,0,0
"gene:MD09G1075400",-6.76955955579722,4.31915957222832,0,0
"gene:MD17G1101100",-6.5076521449932,4.75858415247247,0,0
"gene:MD02G1056400",-6.48227118069589,4.30828511364294,0,0
"gene:MD01G1222200",-6.4806174059909,5.55244676105487,0,0
